Experimental Data from Manometer and Pitot-Static Rake

Data Point #, Motor Speed [RPM], Manometer delta P [dpsi], Ambient Temp.[R], Viscosity [slug/ft s], Ambient Press. [psia], Omega Transmitter delta P [dpsi], RakeT1 [psid],RakeT2 [psid],RakeT3 [psid],RakeT4 [psid],RakeT5 [psid],RakeT6 [psid],RakeT7 [psid],RakeT8 [psid],RakeT9 [psid],RakeS1 [psid],RakeS2 [psid],RakeS3 [psid],RakeS4 [psid],RakeS5 [psid]
1.000000E+0,0.000000E+0,0.000000E+0,5.303700E+2,3.802343E-7,1.434649E+1,2.695251E-5,1.334000E-4,-2.700000E-6,7.296667E-5,5.326667E-5,7.060000E-5,9.546667E-5,1.240000E-5,-3.873333E-5,5.900000E-6,-1.493333E-5,-3.126667E-5,-7.783333E-5,6.666667E-8,-5.526667E-5
2.000000E+0,4.000000E+2,5.419185E-3,5.303700E+2,3.802343E-7,1.434649E+1,5.326904E-3,4.418200E-3,4.244000E-3,4.358167E-3,4.290600E-3,4.365700E-3,4.387867E-3,4.247900E-3,4.200067E-3,4.175933E-3,4.380000E-5,8.130000E-5,-3.480000E-5,4.420000E-5,-2.503333E-5
3.000000E+0,5.000000E+2,8.598440E-3,5.303700E+2,3.802343E-7,1.434649E+1,8.432452E-3,7.124533E-3,6.958133E-3,7.080167E-3,7.028867E-3,7.122800E-3,7.166700E-3,6.928000E-3,6.896500E-3,6.856033E-3,8.313333E-5,1.426000E-4,-2.153333E-5,7.703333E-5,-8.966667E-6
4.000000E+0,6.000000E+2,1.250025E-2,5.303700E+2,3.802343E-7,1.434649E+1,1.242840E-2,1.047993E-2,1.030447E-2,1.039177E-2,1.037080E-2,1.050467E-2,1.052780E-2,1.031327E-2,1.029187E-2,1.014723E-2,2.096000E-4,3.019000E-4,1.032667E-4,2.123000E-4,1.042000E-4
5.000000E+0,7.000000E+2,1.755816E-2,5.303700E+2,3.802343E-7,1.434649E+1,1.738454E-2,1.486000E-2,1.469897E-2,1.474907E-2,1.470720E-2,1.492527E-2,1.492830E-2,1.459610E-2,1.459527E-2,1.457317E-2,5.996667E-5,2.185333E-4,-5.636667E-5,7.750000E-5,-7.186667E-5
6.000000E+0,8.000000E+2,2.348313E-2,5.303700E+2,3.802343E-7,1.434649E+1,2.304726E-2,1.979143E-2,1.953700E-2,1.962930E-2,1.964257E-2,1.989183E-2,1.991620E-2,1.955920E-2,1.954943E-2,1.959243E-2,3.841667E-4,5.797667E-4,2.404000E-4,4.121000E-4,2.345333E-4
7.000000E+0,9.000000E+2,3.027518E-2,5.303700E+2,3.802343E-7,1.434649E+1,2.969118E-2,2.583393E-2,2.556137E-2,2.567997E-2,2.566577E-2,2.595453E-2,2.600920E-2,2.556257E-2,2.559280E-2,2.535293E-2,5.018333E-4,7.591333E-4,3.339333E-4,4.456667E-4,3.030333E-4
8.000000E+0,1.000000E+3,3.757302E-2,5.303700E+2,3.802343E-7,1.434649E+1,3.711792E-2,3.236437E-2,3.205177E-2,3.215820E-2,3.217633E-2,3.251173E-2,3.260887E-2,3.202010E-2,3.210553E-2,3.201313E-2,4.963667E-4,8.063667E-4,3.128333E-4,5.430667E-4,2.689000E-4
9.000000E+0,1.100000E+3,4.552115E-2,5.303700E+2,3.802343E-7,1.434649E+1,4.520752E-2,3.962410E-2,3.923830E-2,3.937907E-2,3.942630E-2,3.984317E-2,3.994653E-2,3.925983E-2,3.935407E-2,3.926197E-2,4.245333E-4,8.092000E-4,2.583333E-4,5.462667E-4,1.543667E-4
1.000000E+1,1.200000E+3,5.426411E-2,5.303700E+2,3.802343E-7,1.434649E+1,5.384131E-2,4.801197E-2,4.762653E-2,4.774303E-2,4.782407E-2,4.825563E-2,4.845973E-2,4.760813E-2,4.770363E-2,4.767767E-2,3.718667E-4,8.298000E-4,1.434000E-4,5.283667E-4,1.243333E-5
1.100000E+1,1.300000E+3,6.423541E-2,5.303700E+2,3.802343E-7,1.434649E+1,6.311286E-2,5.563633E-2,5.518767E-2,5.533390E-2,5.541680E-2,5.592287E-2,5.614363E-2,5.514107E-2,5.527200E-2,5.512390E-2,6.203667E-4,1.161633E-3,2.213000E-4,7.676667E-4,1.861667E-4
1.200000E+1,1.400000E+3,7.406219E-2,5.303700E+2,3.802343E-7,1.434649E+1,7.375414E-2,6.534713E-2,6.470893E-2,6.493703E-2,6.510120E-2,6.567327E-2,6.595030E-2,6.478863E-2,6.495560E-2,6.506443E-2,5.994667E-4,1.121233E-3,3.180000E-5,7.767000E-4,4.756667E-5
1.300000E+1,1.000000E+3,3.757302E-2,5.303700E+2,3.802343E-7,1.434649E+1,3.723139E-2,3.276977E-2,3.245247E-2,3.254980E-2,3.256880E-2,3.295273E-2,3.305613E-2,3.243187E-2,3.251813E-2,3.242753E-2,3.080667E-4,5.786667E-4,1.144333E-4,3.592000E-4,6.430000E-5
