Velocity Profile of Model Wake

q Corr Factor,  0.890

Atm Press [Pa],  98200.000

Atm Temp [C],  23.000

Density [kg/m^3],  1.156

Average Tunnel Velocity [m/s],  20.284

Streamwise location [mm],104.800


Lateral Position [mm], Pitot/Static Vel [m/s], Pitot/Static Vel Stdev [m/s], Hot Wire Vel [m/s], Hot Wire Vel Stdev [m/s]
-60.000,  20.050,  0.123,  19.850,  0.303
-58.000,  20.090,  0.127,  19.900,  0.329
-56.000,  20.036,  0.144,  19.843,  0.362
-54.000,  20.078,  0.137,  19.872,  0.437
-52.000,  20.190,  0.212,  19.964,  0.478
-50.000,  20.140,  0.156,  19.942,  0.603
-48.000,  20.054,  0.164,  19.861,  0.698
-46.000,  20.118,  0.227,  19.866,  0.831
-44.000,  20.132,  0.247,  19.915,  1.019
-42.000,  20.222,  0.331,  19.962,  1.187
-40.000,  20.117,  0.407,  19.873,  1.363
-38.000,  20.112,  0.486,  19.772,  1.730
-36.000,  20.067,  0.533,  19.769,  1.943
-34.000,  20.008,  0.616,  19.641,  2.206
-32.000,  19.955,  0.742,  19.566,  2.424
-30.000,  19.768,  0.871,  19.369,  2.680
-28.000,  19.744,  0.869,  19.208,  2.964
-26.000,  19.582,  0.940,  19.021,  3.139
-24.000,  19.489,  1.023,  18.891,  3.391
-22.000,  19.204,  1.110,  18.625,  3.633
-20.000,  19.167,  1.199,  18.383,  3.889
-18.000,  18.811,  1.192,  18.122,  4.085
-16.000,  18.599,  1.304,  17.840,  4.302
-14.000,  18.119,  1.423,  17.389,  4.504
-12.000,  17.562,  1.654,  16.899,  4.572
-10.000,  17.142,  1.744,  16.339,  4.657
-8.000,  16.159,  2.110,  15.769,  4.670
-6.000,  15.412,  2.339,  15.321,  4.548
-4.000,  15.204,  2.367,  14.616,  4.519
-2.000,  14.880,  2.703,  14.888,  4.341
0.000,  14.420,  2.971,  14.768,  4.349
2.000,  14.632,  2.803,  14.623,  4.426
4.000,  14.858,  2.471,  14.922,  4.538
6.000,  15.790,  2.127,  15.369,  4.659
8.000,  16.421,  2.007,  16.157,  4.566
10.000,  17.198,  1.731,  16.606,  4.616
12.000,  17.897,  1.517,  17.144,  4.510
14.000,  18.272,  1.414,  17.547,  4.409
16.000,  18.598,  1.365,  17.959,  4.321
18.000,  19.012,  1.274,  18.395,  4.002
20.000,  19.195,  1.211,  18.612,  3.813
22.000,  19.375,  1.090,  18.960,  3.567
24.000,  19.577,  1.023,  19.167,  3.319
26.000,  19.882,  0.945,  19.349,  3.027
28.000,  19.883,  0.897,  19.549,  2.822
30.000,  19.989,  0.854,  19.702,  2.569
32.000,  20.100,  0.735,  19.758,  2.390
34.000,  20.364,  0.620,  20.011,  2.157
36.000,  20.286,  0.596,  20.161,  1.799
38.000,  20.336,  0.513,  20.207,  1.560
40.000,  20.474,  0.356,  20.353,  1.434
42.000,  20.504,  0.278,  20.343,  1.136
44.000,  20.450,  0.245,  20.289,  0.979
46.000,  20.460,  0.225,  20.404,  0.820
48.000,  20.457,  0.170,  20.379,  0.691
50.000,  20.457,  0.168,  20.376,  0.580
52.000,  20.501,  0.142,  20.426,  0.462
54.000,  20.459,  0.126,  20.370,  0.396
56.000,  20.427,  0.132,  20.324,  0.361
58.000,  20.511,  0.122,  20.362,  0.307
60.000,  20.460,  0.115,  20.293,  0.274
