Velocity Profile of Model Wake

q Corr Factor,  0.950

Atm Press [Pa],  99700.000

Atm Temp [C],  21.500

Density [kg/m^3],  1.180

Average Tunnel Velocity [m/s],  20.111

Streamwise location [mm],161.900


Lateral Position [mm], Pitot/Static Vel [m/s], Pitot/Static Vel Stdev [m/s], Hot Wire Vel [m/s], Hot Wire Vel Stdev [m/s]
-60.000,  19.329,  0.146,  16.469,  0.343
-58.000,  19.278,  0.164,  16.396,  0.440
-56.000,  19.307,  0.183,  16.336,  0.524
-54.000,  19.313,  0.193,  16.335,  0.625
-52.000,  19.268,  0.237,  16.217,  0.671
-50.000,  19.285,  0.259,  16.292,  0.834
-48.000,  19.269,  0.321,  16.275,  0.917
-46.000,  19.234,  0.374,  16.202,  1.094
-44.000,  19.212,  0.451,  16.170,  1.301
-42.000,  19.090,  0.514,  16.063,  1.383
-40.000,  19.044,  0.550,  15.971,  1.529
-38.000,  19.068,  0.609,  15.929,  1.677
-36.000,  18.976,  0.699,  15.797,  1.847
-34.000,  18.835,  0.726,  15.721,  1.956
-32.000,  18.826,  0.770,  15.624,  2.106
-30.000,  18.685,  0.827,  15.637,  2.208
-28.000,  18.706,  0.837,  15.451,  2.398
-26.000,  18.586,  0.898,  15.302,  2.566
-24.000,  18.387,  1.007,  15.120,  2.705
-22.000,  18.326,  1.080,  15.020,  2.782
-20.000,  18.073,  1.138,  14.807,  2.948
-18.000,  17.807,  1.218,  14.506,  3.094
-16.000,  17.535,  1.356,  14.273,  3.175
-14.000,  17.146,  1.400,  13.932,  3.224
-12.000,  16.744,  1.557,  13.480,  3.286
-10.000,  16.214,  1.725,  13.179,  3.387
-8.000,  15.814,  1.992,  13.020,  3.423
-6.000,  15.615,  1.884,  12.830,  3.258
-4.000,  15.240,  2.259,  12.340,  3.331
-2.000,  14.676,  2.151,  12.255,  3.208
0.000,  14.972,  2.131,  12.237,  3.266
2.000,  14.981,  2.341,  12.410,  3.305
4.000,  15.450,  2.122,  12.453,  3.384
6.000,  15.506,  1.905,  12.719,  3.380
8.000,  15.819,  1.831,  12.910,  3.393
10.000,  16.453,  1.710,  13.493,  3.345
12.000,  16.845,  1.479,  13.881,  3.291
14.000,  17.259,  1.392,  14.159,  3.300
16.000,  17.683,  1.290,  14.584,  3.192
18.000,  17.889,  1.183,  14.805,  3.103
20.000,  18.179,  1.105,  14.990,  2.925
22.000,  18.449,  0.987,  15.303,  2.850
24.000,  18.643,  0.960,  15.666,  2.701
26.000,  18.767,  0.896,  15.773,  2.532
28.000,  18.883,  0.846,  15.947,  2.393
30.000,  18.865,  0.828,  16.138,  2.215
32.000,  19.085,  0.796,  16.091,  2.083
34.000,  19.102,  0.736,  16.230,  1.880
36.000,  19.239,  0.660,  16.313,  1.884
38.000,  19.313,  0.643,  16.467,  1.737
40.000,  19.387,  0.555,  16.478,  1.499
42.000,  19.523,  0.503,  16.583,  1.365
44.000,  19.497,  0.433,  16.592,  1.221
46.000,  19.559,  0.377,  16.671,  1.098
48.000,  19.546,  0.313,  16.661,  0.916
50.000,  19.675,  0.288,  16.770,  0.802
52.000,  19.675,  0.229,  16.783,  0.787
54.000,  19.710,  0.206,  16.778,  0.614
56.000,  19.696,  0.177,  16.710,  0.511
58.000,  19.678,  0.145,  16.813,  0.416
60.000,  19.677,  0.129,  16.797,  0.359
